site, name, version, menu_path, tags, exec_type, module_name, singularityimagepath
CVl@Wiener,AFNI,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/afni.simg
CVl@Wiener,MrTrix,3, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/mrtrix3.simg
CVl@Wiener,Matlab MCR (v93- for R2017b),, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/Matlab_MCR_v93.simg
CVl@Wiener,3dslicer,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/3dslicer.simg
CVl@Wiener,Cellprofiler,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/cellprofiler.simg
CVl@Wiener,OMERO.insight,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/omero-insight.simg
CVl@Wiener,Napari,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/napari.simg
CVl@Wiener,AlphaFold,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/alphafold.simg
CVl@Wiener,Matlab 2018a,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, module, matlab, 
CVl@Wiener,Rstudio,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/rstudio.simg
CVl@Wiener,EMAN,, Applications/Characterisation Virtual Laboratory/CryoEM, CryoEM|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/eman_2.3.simg
CVl@Wiener,Scipion3,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/scipion3.simg
CVl@Wiener,Minc Tools,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/minc-tools.simg
CVl@Wiener,CisTEM,, Applications/Characterisation Virtual Laboratory/CryoEM, CryoEM|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/cistem.simg
CVl@Wiener,Matlab MCR (v97- for R2019b),, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/Matlab_MCR_v97.simg
CVl@Wiener,ANTs,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/ANTs.simg
CVl@Wiener,FSL,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools, Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/containers/fsl.simg
CVl@Wiener,IMOD-RAZA,, Applications/Characterisation Virtual Laboratory/General Imaging Tools, General Tools|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,spinalcordtoolbox,4.3, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/spinalcordtoolbox, Spinalcordtoolbox|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/spinalcordtoolbox_4.3_20201108/spinalcordtoolbox_4.3_20201108.simg
CVl@Wiener,ashs,2.0.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Segmentation/ashs, Ashs|Image Segmentation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/ashs_2.0.0_20210105/ashs_2.0.0_20210105.simg
CVl@Wiener,3DSlicerGUI,4.11.20200930, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/slicer, Slicer|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,3DSlicerGUI,3.0.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/slicersalt, Slicersalt|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,slicersalt,3.0.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/slicersalt, Slicersalt|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/slicersalt_3.0.0_20210301/slicersalt_3.0.0_20210301.simg
CVl@Wiener,connectomeworkbench,1.4.2, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/All Applications/connectomeworkbench, Connectomeworkbench|All Applications|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/connectomeworkbench_1.4.2_20201119/connectomeworkbench_1.4.2_20201119.simg
CVl@Wiener,bidstools,1.0.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Data Organisation/bidstools, Bidstools|Data Organisation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/bidstools_1.0.0_20201208/bidstools_1.0.0_20201208.simg
CVl@Wiener,mrtrix3,3.0.1, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Diffusion Imaging/mrtrix3, Mrtrix3|Diffusion Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/mrtrix3_3.0.1_20200908/mrtrix3_3.0.1_20200908.simg
CVl@Wiener,gimpGUI,2.10.18, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/All Applications/gimp, Gimp|All Applications|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,spinalcordtoolbox,5.3.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/spinalcordtoolbox, Spinalcordtoolbox|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/spinalcordtoolbox_5.3.0_20210614/activate_spinalcordtoolbox_5.3.0_20210614.simg.sh
CVl@Wiener,freesurfer,7.1.1, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/freesurfer, Freesurfer|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/freesurfer_7.1.1_20210225/freesurfer_7.1.1_20210225.simg
CVl@Wiener,hdbet,1.0.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Segmentation/hdbet, Hdbet|Image Segmentation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/hdbet_1.0.0_20210318/activate_hdbet_1.0.0_20210318.simg.sh
CVl@Wiener,julia,1.4.1, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Programming/julia, Julia|Programming|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/julia_1.4.1_20210105/julia_1.4.1_20210105.simg
CVl@Wiener,fsl,6.0.4, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/fsl, Fsl|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/fsl_6.0.4_20210105/fsl_6.0.4_20210105.simg
CVl@Wiener,root,6.22.02, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/All Applications/root, Root|All Applications|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/root_6.22.02_20201104/root_6.22.02_20201104.simg
CVl@Wiener,mrtrix3,3.0.2, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Diffusion Imaging/mrtrix3, Mrtrix3|Diffusion Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/mrtrix3_3.0.2_20201125/mrtrix3_3.0.2_20201125.simg
CVl@Wiener,mrviewGUI,3.0.1, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Diffusion Imaging/mrtrix3, Mrtrix3|Diffusion Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,slicer,4.11.20200930, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/slicer, Slicer|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/slicer_4.11.20200930_20201108/slicer_4.11.20200930_20201108.simg
CVl@Wiener,fmriprep,20.1.3, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/fmriprep, Fmriprep|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/fmriprep_20.1.3_20201118/fmriprep_20.1.3_20201118.simg
CVl@Wiener,mrviewGUI,3.0.2, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Diffusion Imaging/mrtrix3, Mrtrix3|Diffusion Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,qsmxt,1.1.6, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Quantitative Imaging/qsmxt, Qsmxt|Quantitative Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/qsmxt_1.1.6_20210623/activate_qsmxt_1.1.6_20210623.simg.sh
CVl@Wiener,spm12GUI r7219,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Functional Imaging/spm12, Spm12|Functional Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,spinalcordtoolbox,5.1.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/spinalcordtoolbox, Spinalcordtoolbox|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/spinalcordtoolbox_5.1.0_20210222/spinalcordtoolbox_5.1.0_20210222.simg
CVl@Wiener,fsleyesGUI,6.0.3, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/fsl, Fsl|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,dsistudioGUI,2020.10, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Diffusion Imaging/dsistudio, Dsistudio|Diffusion Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,itksnapGUI,3.8.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Segmentation/itksnap, Itksnap|Image Segmentation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,sumaGUI,21.2.00, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Functional Imaging/afni, Afni|Functional Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,registerGUI,1.9.17, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/minc, Minc|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,aslprep,0.2.7, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Quantitative Imaging/aslprep, Aslprep|Quantitative Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/aslprep_0.2.7_20210323/activate_aslprep_0.2.7_20210323.simg.sh
CVl@Wiener,lashis,2.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Segmentation/lashis, Lashis|Image Segmentation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/lashis_2.0_20210211/lashis_2.0_20210211.simg
CVl@Wiener,minc,1.9.17, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/minc, Minc|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/minc_1.9.17_20210105/minc_1.9.17_20210105.simg
CVl@Wiener,bart,0.7.00, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Reconstruction/bart, Bart|Image Reconstruction|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/bart_0.7.00_20210302/bart_0.7.00_20210302.simg
CVl@Wiener,gimp,2.10.18, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/All Applications/gimp, Gimp|All Applications|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/gimp_2.10.18_20210104/gimp_2.10.18_20210104.simg
CVl@Wiener,itksnap,3.8.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Segmentation/itksnap, Itksnap|Image Segmentation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/itksnap_3.8.0_20201208/itksnap_3.8.0_20201208.simg
CVl@Wiener,conn 20b,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Functional Imaging/conn, Conn|Functional Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/conn_20b_20210109/conn_20b_20210109.simg
CVl@Wiener,lashis,1.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Segmentation/lashis, Lashis|Image Segmentation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/lashis_1.0_20210105/lashis_1.0_20210105.simg
CVl@Wiener,lcmodel,6.3, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Spectroscopy/lcmodel, Lcmodel|Spectroscopy|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/lcmodel_6.3_20210302/lcmodel_6.3_20210302.simg
CVl@Wiener,mriqc,0.15.2, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/All Applications/mriqc, Mriqc|All Applications|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/mriqc_0.15.2_20201104/mriqc_0.15.2_20201104.simg
CVl@Wiener,spm12 r7219,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Functional Imaging/spm12, Spm12|Functional Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/spm12_r7219_20201120/spm12_r7219_20201120.simg
CVl@Wiener,tgvqsm,1.0.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Quantitative Imaging/tgvqsm, Tgvqsm|Quantitative Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/tgvqsm_1.0.0_20210629/activate_tgvqsm_1.0.0_20210629.simg.sh
CVl@Wiener,fsl,6.0.3, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/fsl, Fsl|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/fsl_6.0.3_20200905/fsl_6.0.3_20200905.simg
CVl@Wiener,fatsegnet 1.0.gpu,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/All Applications/fatsegnet, Fatsegnet|All Applications|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/fatsegnet_1.0.gpu_20201212/fatsegnet_1.0.gpu_20201212.simg
CVl@Wiener,afni,21.2.00, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Functional Imaging/afni, Afni|Functional Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/afni_21.2.00_20210714/activate_afni_21.2.00_20210714.simg.sh
CVl@Wiener,fsleyesGUI,6.0.4, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/fsl, Fsl|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,dsistudio,2020.10, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Diffusion Imaging/dsistudio, Dsistudio|Diffusion Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/dsistudio_2020.10_20210109/dsistudio_2020.10_20210109.simg
CVl@Wiener,aidmri,1.1, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/aidmri, Aidmri|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/aidmri_1.1_20210330/aidmri_1.1_20210330.simg
CVl@Wiener,spinalcordtoolbox,5.2.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/spinalcordtoolbox, Spinalcordtoolbox|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/spinalcordtoolbox_5.2.0_20210226/spinalcordtoolbox_5.2.0_20210226.simg
CVl@Wiener,datalad,0.13.3, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Data Organisation/datalad, Datalad|Data Organisation|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/datalad_0.13.3_20201119/datalad_0.13.3_20201119.simg
CVl@Wiener,mrtrix3tissue,5.2.8, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Diffusion Imaging/mrtrix3tissue, Mrtrix3tissue|Diffusion Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/mrtrix3tissue_5.2.8_20201111/mrtrix3tissue_5.2.8_20201111.simg
CVl@Wiener,freeviewGUI,7.1.1, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/freesurfer, Freesurfer|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,ants,2.3.4, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Image Registration/ants, Ants|Image Registration|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/ants_2.3.4_20210104/ants_2.3.4_20210104.simg
CVl@Wiener,connGUI 20b,, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/Functional Imaging/conn, Conn|Functional Imaging|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , 
CVl@Wiener,convert3d,1.0.0, Applications/Characterisation Virtual Laboratory/Neuroimaging Tools/Neurodesk/All Applications/convert3d, Convert3d|All Applications|Neurodesk|Applications|Neuroimaging|Characterisation Virtual Laboratory|Applications, singularity, , /scratch/cvl-admin/neurodesk/local/containers/convert3d_1.0.0_20210104/convert3d_1.0.0_20210104.simg
